,City,Match,Region,match_boolean,new_region
chilango,Chicago,chilango,Ciudad de Mexico,True,sonora
ocotlan,Chicago,ocotlan,Jalisco,True,jalisco
tecalitlan,Chicago,tecalitlan,Jalisco,True,jalisco
teloloapan,Chicago,teloloapan,Guerrero,True,guerrero
uruapan,Chicago,uruapan,Michoacan,True,michoacan
acapulco,Dallas,acapulco,Tamaulipas,True,guerrero
antojito's jalisco,Dallas,jalisco,Jalisco,True,jalisco
apatzingan taqueria,Dallas,apatzingan,Hidalgo,True,michoacan
barbacoa agave hidalguense,Dallas,hidalguense,Hidalgo,True,hidalgo
cabritos los cavazos restaurant,Dallas,cavazos,Mexico,True,nuevo leon
casa cavazos,Dallas,cavazos,Mexico,True,nuevo leon
chalmita,Dallas,chalmita,Sinaloa,True,mexico
chamoyadas guerrero,Dallas,guerrero,Guerrero,True,guerrero
corazon chilango,Dallas,chilango,Ciudad de Mexico,True,sonora
corrientes 348,Dallas,corrientes,Ciudad de Mexico,True,jalisco
el guerrerense,Dallas,guerrerense,Guerrero,True,guerrero
el michoacano restaurante,Dallas,michoacano,Michoacan de Ocampo,True,michoacan
el rincon tapatio,Dallas,tapatio,Jalisco,True,jalisco
food concepcion llc,Dallas,concepcion,Chihuahua,True,zacatecas
fruteria guerrero,Dallas,guerrero,Guerrero,True,guerrero
irma lerma rangel school,Dallas,lerma,Sinaloa,True,mexico
ixtapa bay restaurant,Dallas,ixtapa,Chiapas,True,guerrero
jalisco,Dallas,jalisco,Jalisco,True,jalisco
la chihuahuita,Dallas,chihuahuita,Chiapas,True,chihuahua
la chula michoacana,Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana (bakery),Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana (carnitas),Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana (meat market),Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana (restaurant),Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana (taqueria),Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana bakery & tacos,Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana estilo chicago,Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana grocery,Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana grocery/produce,Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana meat market,Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana meat market #7,Dallas,michoacana,Michoacan de Ocampo,True,michoacan
la michoacana meat market - meat,Dallas,michoacana,Michoacan de Ocampo,True,michoacan
